,Exoneura_sp.,Apis_mellifera,Euryglossa_sp_1,Euryglossa_sp_2,Euryglossa_sp.,Hylaeus_semipersonatus,Hylaeus_sp.,Hyphesma_sp.,Leioproctus_sp_1,Leioproctus_sp_2,Leioproctus_sp_3,Lasioglossum_sp.,Lasioglossum_sp._1,Lasioglossum_sp._2,Lasioglossum_sp._3,Lasioglossum_sp._4,Lasioglossum_sp._5,Lasioglossum_sp._6,Parasphecodes_sp._1,Parasphecodes_sp._2,Parasphecodes_sp._3,Megachile__sp.,Euryinae_sp._1,Euryinae_sp._2,Euryinae_sp._3,Anthoboscinae,Dilophus_sp.,Sciaridae_sp.,Pelecorhynchus_rubidus,Tabanus_froggatti,Stratiomyidae_sp,Therevidae_sp,Comptosia_sylvana,Villa__sp.,Empis_sp_B,Empis_sp_C,Empis_sp_D,Empis_sp_E,Empis_sp_F,Dolichopodidae_sp,Diostracus_sp_1,Eristalis_tenax,Melangyna_sp,Syrphus_sp,Rivellia_sp_F,Sphenella_marginata,Tephritis_sp_A,Tephritis_sp_B,Phytoliriomyza_sp.,Incurviseta_sp_D,Incurviseta_sp_K,Poecilohetaerus_sp,Sapromyza_s,Tapeigaster_nigricornis,Scaptomyza_australis,Hydrellia_sp.,Chloromerus_sp.,Coenosia_sp_A,Coenosia_sp_B,Helina_sp_A,Helina_sp_B,Limnophora_sp.,Musca_vetustissima,Prohardyia_carinata,Calliphora__fulvicoxa,Calliphora__hilli,Calliphora__stygia,Calliphora__sp.,Calliphora__sp_A,Calliphora__sp_B,Alophora_sp,Chaetophthalmus_dorsalis,Prosena_sp_C,Rutilia_sp.,Scaptia_alpina,Senostoma_sp_A,Senostoma_sp_B,Senostoma_sp_D,Unidentified_no._1,Unidentified_no._2,Unidentified_no._3,Unidentified_no._4,Agrostis_infusa,Hippotion_scofa,Oreixenica_orichora
Baeckia_gunniana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,2,0,0,0,0,7,0,1,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
Celmisia_longifolia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Epacris_petrophila,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxylobium_ellipticum,1,0,2,1,0,0,0,0,3,0,0,0,0,2,0,0,12,1,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphrasia_collina_diversicolor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senecio_gunnii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epilobium_gunnianum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helipterum_albicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
Achillea_millefolium,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Richea_continentis,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucopogon_montanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phebalium_ovatifolium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brachycome_scapigera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Helichrysum_alpinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
