,Neolitsea_dealbata,Ficus_destruens,Litsea_leefeana,Tieghemopanax_elegans,Tieghemopanax_murrayi,Linociera_ramiflora,Archontophoenix_alexandrae,Pothos_loureirii,Ficus_virens,Notothixos_subarueus,Myristica_muelleri,Cryptocarya_hypospodia,Cryptocarya_mackinnoniana,Cryptocarya_sp._aff._C._cinnamomifolia,Endiandra_hypotephra,Endiandra_muelleri,Litsea_bindoniana,Canarium_australianum,Dysoxylum_micranthum,C._hypoglauca,Elaeocarpus_largiflorens,Elaeocarpus_grahamii,Kissodendron_australianum,Flagellaria_sp.,Piper_sp.,Ficus_leptoclada,H._laurina,Tretasynandra_laxiflora,Cinnamomun_laubatii,Dysoxylum_oppositifolium,Glochidion_ferdinandii,Citronella_emythii,Gomphandra_australiana,Cissus_sterculifolius,Aceratium_megalospermun,Elaeocarpus_grandis,Terminalia_sericocarpa,Eugenia_johnsonii,Eugenia_sp._aff._E._smithii,Symplocos_etawellii,Antirhea_tenuiflora,Freycinetia_excelsa,Calamus_sp.,Helicia_nortoniana,Dendrophthoe_falcata,Hypaerpa_decumbens,Cananga_odorata,Rauwenhoffia_leichardtii,Litsea_glutinosa,Euodia_xanthoxyloides,Melia_asederach,Dysoxylum_sp._aff._D._klanderi,Homalanthus_populifolius,Breynia_stipitata,Ganophyllum_faloatum,Alphitonia_whitei,Elaeocarpus_arnhemicus,Hibbertia_scandens,Pilidiostigma_tropicum,Embelia_sp.,Planchonella_obovoidea,Planchonella_obovata,Planchonella_xerocarpa,Symplocos_paucistamineus,Strychnos_colubrina,Gmelina_fasciculiflora,Lantana_camara,Clerodendrum_traceyanum,Solanum_torvum,Solanum_viride,Canthium_coprosmoides,Morinda_jasminioides
Ptilinopus_magnificus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
Ptilinopus_superbus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
Macropygia_amboinensis,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
Ptilinopus_regina,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ducula_spilorrhoa,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columba_leucomela,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lopholaimus_antarcticus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
