,Aralia_nudicaulis,Chimaphila_umbellata,Clintonia_borealis,Cornus_canadensis,Cypripedium_acaule,Linnaea_borealis,Maianthemum_canadense,Medeola_virginiana,Oxalis_montana,Pyrola_secunda,Trientalis_borealis,Trillium_undulatum
Sphecodes_sp.,0,0,0,2,0,0,0,0,0,0,0,0
Syritta_pipiens,0,0,0,1,0,0,0,0,0,0,0,0
Syritta_rectus,0,0,0,1,0,0,0,0,0,0,0,0
Temnostoma_alternans,0,0,0,1,0,0,0,0,0,0,0,0
Temnostoma_balyras,0,0,0,3,0,0,0,0,0,0,0,0
Temnostoma_barberi,0,0,0,2,0,0,0,0,0,0,0,0
Thamnotettix_confinis,0,0,0,0,0,0,1,0,0,0,0,0
Trachysida_aspera,1,0,0,0,0,0,0,0,0,0,0,0
Tropidia_quadrata,0,0,0,2,0,0,2,0,0,0,0,0
Tychius_stephensi,0,0,0,3,0,0,0,0,0,0,0,0
Vespula_arenaria,0,0,0,0,0,0,0,0,0,1,0,0
Xylota_bigelowi,0,0,0,10,0,0,0,0,0,0,0,0
Xylota_hinei,0,0,0,2,0,0,1,0,0,0,0,0
Xylota_sp.,0,0,0,1,0,0,0,0,0,0,0,0
Zaraea_americana,0,0,0,1,0,1,0,0,0,0,0,0
